File: DSP-1001660006002-A-F05, Raw: Error, Trimmed: Error, Stitched: Error, Aligned: Error, TotalDedup: Error
File: DSP-1001660006002-A-F07, Raw: 20601732, Trimmed: 19460451, Stitched: 19460451, Aligned: 19357361, TotalDedup: 3233605
File: DSP-1001660006002-A-F09, Raw: 970687, Trimmed: 918143, Stitched: 918143, Aligned: 912852, TotalDedup: 243675
File: DSP-1001660006002-A-F10, Raw: 679990, Trimmed: 643557, Stitched: 643557, Aligned: 640563, TotalDedup: 133043
File: DSP-1001660006002-A-F11, Raw: 1620428, Trimmed: 1538096, Stitched: 1538096, Aligned: 1530182, TotalDedup: 303823
File: DSP-1001660006002-A-F12, Raw: 1113654, Trimmed: 1052881, Stitched: 1052881, Aligned: 1047709, TotalDedup: 246808
File: DSP-1001660006002-A-G01, Raw: 471959, Trimmed: 447798, Stitched: 447798, Aligned: 445400, TotalDedup: 107986
File: DSP-1001660006002-A-G02, Raw: 1157447, Trimmed: 1095684, Stitched: 1095684, Aligned: 1089318, TotalDedup: 268167
File: DSP-1001660006002-A-G03, Raw: 862425, Trimmed: 816141, Stitched: 816141, Aligned: 811405, TotalDedup: 195254
File: DSP-1001660006002-A-G04, Raw: 1458462, Trimmed: 1380929, Stitched: 1380929, Aligned: 1372932, TotalDedup: 416394
File: DSP-1001660006002-A-G05, Raw: 12301274, Trimmed: 11585788, Stitched: 11585788, Aligned: 11523281, TotalDedup: 2009780
File: DSP-1001660006002-A-G06, Raw: 738184, Trimmed: 699369, Stitched: 699369, Aligned: 695838, TotalDedup: 156129
File: DSP-1001660006002-A-G07, Raw: 1455765, Trimmed: 1379583, Stitched: 1379583, Aligned: 1371725, TotalDedup: 398467
File: DSP-1001660006002-A-G08, Raw: 10282956, Trimmed: 9691406, Stitched: 9691406, Aligned: 9638726, TotalDedup: 1660854
File: DSP-1001660006002-A-G09, Raw: 625017, Trimmed: 594421, Stitched: 594421, Aligned: 591228, TotalDedup: 146594
File: DSP-1001660006002-A-G10, Raw: 1358856, Trimmed: 1291940, Stitched: 1291940, Aligned: 1284852, TotalDedup: 273793
File: DSP-1001660006002-A-G11, Raw: 9396899, Trimmed: 8854599, Stitched: 8854599, Aligned: 8804824, TotalDedup: 1437931
File: DSP-1001660006002-A-G12, Raw: 551838, Trimmed: 522657, Stitched: 522657, Aligned: 519580, TotalDedup: 125430
File: DSP-1001660006002-A-H01, Raw: 1169810, Trimmed: 1109796, Stitched: 1109796, Aligned: 1103612, TotalDedup: 226718
File: DSP-1001660006002-A-H02, Raw: 10909225, Trimmed: 10264463, Stitched: 10264463, Aligned: 10206999, TotalDedup: 1854989
